"survey_id","STR","RES","ASC","package","sos","info","own","noalt","own.fisher","own.industry","own.gov","own.public"
1001,1001,1,1,3,0,1,"1",2,1,0,0,0
1001,1001,0,1,4,1,0,"4",2,0,0,0,1
1002,2001,0,1,14,1,0,"2",2,0,1,0,0
1002,2001,1,1,12,1,1,"1",2,1,0,0,0
1003,3001,0,1,10,0,0,"2",2,0,1,0,0
1003,3001,1,1,14,1,0,"2",2,0,1,0,0
1004,4001,1,1,5,0,0,"4",2,0,0,0,1
1004,4001,0,1,11,1,1,"4",2,0,0,0,1
1005,5001,1,1,11,1,1,"4",2,0,0,0,1
1005,5001,0,1,5,0,0,"4",2,0,0,0,1
1006,6001,0,1,1,0,1,"2",2,0,1,0,0
1006,6001,1,1,2,1,1,"3",2,0,0,1,0
1007,7001,1,1,2,1,1,"3",2,0,0,1,0
1007,7001,0,1,8,0,1,"4",2,0,0,0,1
1008,8001,1,1,11,1,1,"4",2,0,0,0,1
1008,8001,0,1,5,0,0,"4",2,0,0,0,1
1009,9001,0,1,6,0,0,"3",2,0,0,1,0
1009,9001,1,1,7,1,0,"1",2,1,0,0,0
1010,10001,0,1,16,0,1,"3",2,0,0,1,0
1010,10001,1,1,13,1,1,"2",2,0,1,0,0
1011,11001,1,1,4,1,0,"4",2,0,0,0,1
1011,11001,0,1,15,0,0,"1",2,1,0,0,0
1012,12001,0,1,10,0,0,"2",2,0,1,0,0
1012,12001,1,1,14,1,0,"2",2,0,1,0,0
1013,13001,0,1,3,0,1,"1",2,1,0,0,0
1013,13001,1,1,4,1,0,"4",2,0,0,0,1
1014,14001,0,1,6,0,0,"3",2,0,0,1,0
1014,14001,1,1,7,1,0,"1",2,1,0,0,0
1015,15001,1,1,7,1,0,"1",2,1,0,0,0
1015,15001,0,1,16,0,1,"3",2,0,0,1,0
1016,16001,0,1,8,0,1,"4",2,0,0,0,1
1016,16001,1,1,3,0,1,"1",2,1,0,0,0
1017,17001,1,1,9,1,0,"3",2,0,0,1,0
1017,17001,0,1,6,0,0,"3",2,0,0,1,0
1018,18001,1,1,7,1,0,"1",2,1,0,0,0
1018,18001,0,1,16,0,1,"3",2,0,0,1,0
2001,19001,0,1,10,0,0,"2",2,0,1,0,0
2001,19001,1,1,14,1,0,"2",2,0,1,0,0
2002,20001,1,1,7,1,0,"1",2,1,0,0,0
2002,20001,0,1,16,0,1,"3",2,0,0,1,0
2003,21001,0,1,8,0,1,"4",2,0,0,0,1
2003,21001,1,1,3,0,1,"1",2,1,0,0,0
2004,22001,1,1,9,1,0,"3",2,0,0,1,0
2004,22001,0,1,6,0,0,"3",2,0,0,1,0
3001,23001,0,1,4,1,0,"4",2,0,0,0,1
3001,23001,1,1,15,0,0,"1",2,1,0,0,0
3002,24001,1,1,5,0,0,"4",2,0,0,0,1
3002,24001,0,1,11,1,1,"4",2,0,0,0,1
3003,25001,1,1,10,0,0,"2",2,0,1,0,0
3003,25001,0,1,14,1,0,"2",2,0,1,0,0
3004,26001,0,1,7,1,0,"1",2,1,0,0,0
3004,26001,1,1,16,0,1,"3",2,0,0,1,0
3005,27001,1,1,7,1,0,"1",2,1,0,0,0
3005,27001,0,1,16,0,1,"3",2,0,0,1,0
3006,28001,0,1,11,1,1,"4",2,0,0,0,1
3006,28001,1,1,5,0,0,"4",2,0,0,0,1
3007,29001,0,1,8,0,1,"4",2,0,0,0,1
3007,29001,1,1,3,0,1,"1",2,1,0,0,0
3008,30001,1,1,9,1,0,"3",2,0,0,1,0
3008,30001,0,1,6,0,0,"3",2,0,0,1,0
3009,31001,0,1,13,1,1,"2",2,0,1,0,0
3009,31001,1,1,9,1,0,"3",2,0,0,1,0
3010,32001,0,1,10,0,0,"2",2,0,1,0,0
3010,32001,1,1,14,1,0,"2",2,0,1,0,0
3011,33001,0,1,10,0,0,"2",2,0,1,0,0
3011,33001,1,1,14,1,0,"2",2,0,1,0,0
3012,34001,1,1,11,1,1,"4",2,0,0,0,1
3012,34001,0,1,5,0,0,"4",2,0,0,0,1
3013,35001,1,1,11,1,1,"4",2,0,0,0,1
3013,35001,0,1,5,0,0,"4",2,0,0,0,1
3014,36001,0,1,14,1,0,"2",2,0,1,0,0
3014,36001,1,1,12,1,1,"1",2,1,0,0,0
3015,37001,0,1,14,1,0,"2",2,0,1,0,0
3015,37001,1,1,12,1,1,"1",2,1,0,0,0
3016,38001,1,1,9,1,0,"3",2,0,0,1,0
3016,38001,0,1,6,0,0,"3",2,0,0,1,0
3017,39001,1,1,2,1,1,"3",2,0,0,1,0
3017,39001,0,1,8,0,1,"4",2,0,0,0,1
3018,40001,0,1,3,0,1,"1",2,1,0,0,0
3018,40001,1,1,4,1,0,"4",2,0,0,0,1
3019,41001,1,1,12,1,1,"1",2,1,0,0,0
3019,41001,0,1,1,0,1,"2",2,0,1,0,0
3020,42001,1,1,15,0,0,"1",2,1,0,0,0
3020,42001,0,1,10,0,0,"2",2,0,1,0,0
3021,43001,0,1,13,1,1,"2",2,0,1,0,0
3021,43001,1,1,9,1,0,"3",2,0,0,1,0
3022,44001,0,1,1,0,1,"2",2,0,1,0,0
3022,44001,1,1,2,1,1,"3",2,0,0,1,0
3023,45001,0,1,16,0,1,"3",2,0,0,1,0
3023,45001,1,1,13,1,1,"2",2,0,1,0,0
3024,46001,1,1,12,1,1,"1",2,1,0,0,0
3024,46001,0,1,1,0,1,"2",2,0,1,0,0
3025,47001,1,1,15,0,0,"1",2,1,0,0,0
3025,47001,0,1,10,0,0,"2",2,0,1,0,0
3026,48001,1,1,15,0,0,"1",2,1,0,0,0
3026,48001,0,1,10,0,0,"2",2,0,1,0,0
3027,49001,1,1,12,1,1,"1",2,1,0,0,0
3027,49001,0,1,1,0,1,"2",2,0,1,0,0
3028,50001,1,1,12,1,1,"1",2,1,0,0,0
3028,50001,0,1,1,0,1,"2",2,0,1,0,0
3029,51001,1,1,16,0,1,"3",2,0,0,1,0
3029,51001,0,1,13,1,1,"2",2,0,1,0,0
3030,52001,0,1,1,0,1,"2",2,0,1,0,0
3030,52001,1,1,2,1,1,"3",2,0,0,1,0
3031,53001,0,1,13,1,1,"2",2,0,1,0,0
3031,53001,1,1,9,1,0,"3",2,0,0,1,0
3032,54001,1,1,12,1,1,"1",2,1,0,0,0
3032,54001,0,1,1,0,1,"2",2,0,1,0,0
3033,55001,0,1,1,0,1,"2",2,0,1,0,0
3033,55001,1,1,2,1,1,"3",2,0,0,1,0
3034,56001,1,1,2,1,1,"3",2,0,0,1,0
3034,56001,0,1,8,0,1,"4",2,0,0,0,1
3035,57001,0,1,3,0,1,"1",2,1,0,0,0
3035,57001,1,1,4,1,0,"4",2,0,0,0,1
3036,58001,0,1,3,0,1,"1",2,1,0,0,0
3036,58001,1,1,4,1,0,"4",2,0,0,0,1
3037,59001,0,1,5,0,0,"4",2,0,0,0,1
3037,59001,1,1,11,1,1,"4",2,0,0,0,1
3038,60001,0,1,6,0,0,"3",2,0,0,1,0
3038,60001,1,1,7,1,0,"1",2,1,0,0,0
3039,61001,1,1,7,1,0,"1",2,1,0,0,0
3039,61001,0,1,16,0,1,"3",2,0,0,1,0
3040,62001,0,1,8,0,1,"4",2,0,0,0,1
3040,62001,1,1,3,0,1,"1",2,1,0,0,0
3041,63001,1,1,9,1,0,"3",2,0,0,1,0
3041,63001,0,1,6,0,0,"3",2,0,0,1,0
3042,64001,0,1,10,0,0,"2",2,0,1,0,0
3042,64001,1,1,14,1,0,"2",2,0,1,0,0
3043,65001,1,1,11,1,1,"4",2,0,0,0,1
3043,65001,0,1,5,0,0,"4",2,0,0,0,1
3044,66001,1,1,12,1,1,"1",2,1,0,0,0
3044,66001,0,1,1,0,1,"2",2,0,1,0,0
3045,67001,0,1,13,1,1,"2",2,0,1,0,0
3045,67001,1,1,9,1,0,"3",2,0,0,1,0
3046,68001,0,1,14,1,0,"2",2,0,1,0,0
3046,68001,1,1,12,1,1,"1",2,1,0,0,0
3047,69001,0,1,4,1,0,"4",2,0,0,0,1
3047,69001,1,1,15,0,0,"1",2,1,0,0,0
3048,70001,0,1,6,0,0,"3",2,0,0,1,0
3048,70001,1,1,7,1,0,"1",2,1,0,0,0
3049,71001,1,1,4,1,0,"4",2,0,0,0,1
3049,71001,0,1,15,0,0,"1",2,1,0,0,0
3050,72001,0,1,14,1,0,"2",2,0,1,0,0
3050,72001,1,1,12,1,1,"1",2,1,0,0,0
3051,73001,1,1,4,1,0,"4",2,0,0,0,1
3051,73001,0,1,15,0,0,"1",2,1,0,0,0
3052,74001,0,1,8,0,1,"4",2,0,0,0,1
3052,74001,1,1,3,0,1,"1",2,1,0,0,0
3053,75001,0,1,6,0,0,"3",2,0,0,1,0
3053,75001,1,1,7,1,0,"1",2,1,0,0,0
3054,76001,1,1,2,1,1,"3",2,0,0,1,0
3054,76001,0,1,8,0,1,"4",2,0,0,0,1
3055,77001,0,1,5,0,0,"4",2,0,0,0,1
3055,77001,1,1,11,1,1,"4",2,0,0,0,1
3056,78001,1,1,15,0,0,"1",2,1,0,0,0
3056,78001,0,1,10,0,0,"2",2,0,1,0,0
3057,79001,0,1,16,0,1,"3",2,0,0,1,0
3057,79001,1,1,13,1,1,"2",2,0,1,0,0
3058,80001,1,1,16,0,1,"3",2,0,0,1,0
