"survey_id","survey_version","country","choice","wtp_lower","package","sos","info","own","community","years_fishing","age","boat_length_m","fishing_organization","education","gdp_prop","income_usd","NY.GDP.PCAP.KD","fishing_org_members","fishtech","boat_own","income_fishing","rank_one","wtp_upper"
1001,3,"IND",1,-3.56,3,0,1,"1","RAJ",1,19,7,"y","formal",0.198847718303682,852,4284.68582525458,10,0,1,100,"pollution",-2.14
1002,14,"IND",1,3.56,30,1,1,"1","RAJ",25,41,9,"y","formal",0.198847718303682,852,4284.68582525458,10,1,1,100,"weather",5.35
1003,10,"IND",1,0,26,1,0,"2","RAJ",55,68,9,"y","formal",0.298271577455522,1278,4284.68582525458,7,0,0,30,"weather",2.14
1004,5,"IND",1,3.56,5,0,0,"4","RAJ",15,56,4,"y","formal",0.198847718303682,852,4284.68582525458,10,0,1,100,"pollution",5.35
1005,11,"IND",1,3.56,11,1,1,"4","RAJ",30,59,5,"y","formal",0.401009565245758,1718.2,4284.68582525458,6,0,1,100,"weather",5.35
1006,1,"IND",1,-2.14,17,1,1,"3","RAJ",7,26,6,"y","formal",0.198847718303682,852,4284.68582525458,3,0,1,50,"iuu",0
1007,2,"IND",1,7.12,2,1,1,"3","RAJ",11,23,7,"y","formal",0.21873249013405,937.2,4284.68582525458,8,0,0,100,"corruption",11.02
1008,11,"IND",1,-2.14,11,1,1,"4","RAJ",9,33,9,"y","formal",0.596543154911045,2556,4284.68582525458,6,0,1,100,"weather",0
1009,6,"IND",1,3.56,22,1,0,"1","RAJ",34,46,9,"n","formal",0.0198847718303682,85.2,4284.68582525458,8,0,1,100,"weather",5.35
1010,16,"IND",1,0,32,1,1,"2","RAJ",30,42,9,"y","formal",1.59078174642945,6816,4284.68582525458,8,0,1,75,"weather",2.14
1011,4,"IND",1,-3.56,4,1,0,"4","RAJ",5,37,6,"y","formal",0.795390873214726,3408,4284.68582525458,8,0,1,25,"iuu",-2.14
1012,10,"IND",1,2.14,26,1,0,"2","RAJ",30,52,8,"y","higher",0.401009565245758,1718.2,4284.68582525458,4,0,1,81,"weather",3.56
1013,3,"IND",1,5.35,19,1,0,"4","RAJ",15,33,6,"y","formal",0.298271577455522,1278,4284.68582525458,5,0,0,70,"iuu",7.12
1014,6,"IND",1,3.56,22,1,0,"1","RAJ",15,50,4,"y","higher",0.401009565245758,1718.2,4284.68582525458,15,0,1,81,"weather",5.35
1015,7,"IND",1,3.56,7,1,0,"1","RAJ",30,42,3,"y","formal",0.401009565245758,1718.2,4284.68582525458,10,0,1,81,"pollution",5.35
1016,8,"IND",1,2.14,24,0,1,"1","RAJ",16,37,2,"y","formal",0.401009565245758,1718.2,4284.68582525458,5,0,0,81,"weather",3.56
1017,9,"IND",1,3.56,9,1,0,"3","RAJ",15,40,4,"y","formal",0.401009565245758,1718.2,4284.68582525458,20,0,1,81,"weather",5.35
1018,7,"IND",1,7.12,7,1,0,"1","RAJ",28,40,9,"n","formal",0.198847718303682,852,4284.68582525458,8,0,1,100,"corruption",11.02
3001,4,"IND",1,3.56,20,0,0,"1","MAK",20,40,28,"y","formal",0.298271577455522,1278,4284.68582525458,20,0,1,100,"pollution",5.35
3002,5,"IND",1,-2.14,5,0,0,"4","MAK",30,50,8,"y","formal",0.397695436607363,1704,4284.68582525458,20,0,1,100,"pollution",0
3004,7,"IND",1,-2.14,23,0,1,"3","MAK",8,37,7,"y","formal",0.198847718303682,852,4284.68582525458,30,0,0,100,"weather",0
3005,7,"IND",1,2.14,7,1,0,"1","MAK",15,30,3,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,0,100,"weather",3.56
3007,8,"IND",1,3.56,24,0,1,"1","MAK",20,35,3,"y","formal",0.198847718303682,852,4284.68582525458,30,0,0,100,"weather",5.35
3008,9,"IND",1,0,9,1,0,"3","MAK",30,45,3,"y","no_formal",0.497119295759204,2130,4284.68582525458,20,1,0,100,"pollution",2.14
3009,13,"IND",1,0,29,1,0,"3","MAK",13,75,15,"n","no_formal",0.497119295759204,2130,4284.68582525458,111,1,0,100,"corruption",2.14
3010,10,"IND",1,2.14,26,1,0,"2","MAK",4,19,7,"y","formal",0.198847718303682,852,4284.68582525458,13,0,0,100,"weather",3.56
3011,10,"IND",1,3.56,26,1,0,"2","MAK",20,46,3,"n","formal",0.397695436607363,1704,4284.68582525458,111,0,0,100,"weather",5.35
3012,11,"IND",1,0,11,1,1,"4","MAK",9,32,3,"y","formal",0.397695436607363,1704,4284.68582525458,30,0,0,100,"weather",2.14
3013,11,"IND",1,2.14,11,1,1,"4","MAK",29,39,8,"y","formal",0.397695436607363,1704,4284.68582525458,25,0,1,100,"iuu",3.56
3014,14,"IND",1,-3.56,30,1,1,"1","MAK",50,60,16,"y","formal",3.97695436607363,17040,4284.68582525458,12,0,1,100,"weather",-2.14
3015,14,"IND",1,0,30,1,1,"1","MAK",30,47,5,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,1,100,"pollution",2.14
3016,9,"IND",1,0,9,1,0,"3","MAK",32,42,5,"y","formal",0.596543154911045,2556,4284.68582525458,10,0,0,100,"pollution",2.14
3017,2,"IND",1,0,2,1,1,"3","MAK",30,42,5,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,1,100,"pollution",2.14
3018,3,"IND",1,0,19,1,0,"4","MAK",25,40,5,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,0,100,"pollution",2.14
3019,12,"IND",1,2.14,12,1,1,"1","MAK",25,39,7,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,0,100,"weather",3.56
3020,15,"IND",1,2.14,15,0,0,"1","MAK",17,28,6,"y","formal",0.397695436607363,1704,4284.68582525458,30,1,0,100,"weather",3.56
3022,1,"IND",1,2.14,17,1,1,"3","MAK",10,59,100,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,0,100,"weather",3.56
3023,16,"IND",1,0,32,1,1,"2","MAK",5,40,20,"n","formal",0.397695436607363,1704,4284.68582525458,111,0,0,100,"weather",2.14
3026,15,"IND",1,3.56,15,0,0,"1","MAK",20,35,7,"n","formal",0.397695436607363,1704,4284.68582525458,111,0,0,100,"weather",5.35
3027,12,"IND",1,3.56,12,1,1,"1","MAK",25,40,7,"y","formal",0.596543154911045,2556,4284.68582525458,200,1,0,100,"weather",5.35
3028,12,"IND",1,-2.14,12,1,1,"1","MAK",20,54,13,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,0,100,"weather",0
3029,16,"IND",1,3.56,16,0,1,"3","MAK",22,35,7,"y","formal",0.596543154911045,2556,4284.68582525458,200,1,0,100,"weather",5.35
3030,1,"IND",1,3.56,17,1,1,"3","MAK",6,35,7,"y","formal",1.19308630982209,5112,4284.68582525458,200,1,0,100,"weather",5.35
3031,13,"IND",1,3.56,29,1,0,"3","MAK",4,29,8,"n","formal",0.397695436607363,1704,4284.68582525458,111,1,0,100,"weather",5.35
3032,12,"IND",1,5.35,12,1,1,"1","MAK",20,37,8,"n","formal",1.59078174642945,6816,4284.68582525458,111,1,0,100,"iuu",7.12
3033,1,"IND",1,3.56,17,1,1,"3","MAK",35,48,8,"n","formal",3.97695436607363,17040,4284.68582525458,111,1,1,100,"iuu",5.35
3036,3,"IND",1,3.56,19,1,0,"4","MAK",22,39,15,"y","formal",3.97695436607363,17040,4284.68582525458,100,1,1,100,"iuu",5.35
3037,5,"IND",1,3.56,21,1,1,"4","MAK",21,40,15,"n","formal",1.59078174642945,6816,4284.68582525458,111,1,0,100,"weather",5.35
3041,9,"IND",1,2.14,9,1,0,"3","MAK",25,40,15,"y","formal",0.497119295759204,2130,4284.68582525458,300,0,0,100,"weather",3.56
3042,10,"IND",1,3.56,26,1,0,"2","MAK",20,33,12,"y","formal",0.596543154911045,2556,4284.68582525458,300,1,1,100,"weather",5.35
3043,11,"IND",1,2.14,11,1,1,"4","MAK",25,38,15,"n","formal",0.397695436607363,1704,4284.68582525458,111,0,0,100,"weather",3.56
3044,12,"IND",1,2.14,12,1,1,"1","MAK",20,38,12,"n","formal",0.397695436607363,1704,4284.68582525458,111,0,0,100,"weather",3.56
3045,13,"IND",1,2.14,29,1,0,"3","MAK",20,40,8,"n","formal",0.397695436607363,1704,4284.68582525458,111,1,0,100,"weather",3.56
3047,4,"IND",1,-2.14,20,0,0,"1","MAK",20,43,7,"y","formal",0.198847718303682,852,4284.68582525458,50,0,0,100,"weather",0
3048,6,"IND",1,2.14,22,1,0,"1","MAK",10,29,9,"n","formal",0.298271577455522,1278,4284.68582525458,111,0,0,100,"weather",3.56
3049,4,"IND",1,0,4,1,0,"4","MAK",40,55,6,"n","formal",0.397695436607363,1704,4284.68582525458,111,0,0,100,"weather",2.14
3050,14,"IND",1,2.14,30,1,1,"1","MAK",20,41,7,"y","formal",0.397695436607363,1704,4284.68582525458,20,0,0,100,"weather",3.56
3052,8,"IND",1,0,24,0,1,"1","MAK",15,30,9,"n","formal",0.139193402812577,596.4,4284.68582525458,111,0,0,100,"pollution",2.14
3053,6,"IND",1,0,22,1,0,"1","MAK",10,25,7,"y","formal",0.298271577455522,1278,4284.68582525458,400,0,0,100,"weather",2.14
3054,2,"IND",1,0,2,1,1,"3","MAK",5,20,7,"n","formal",0.298271577455522,1278,4284.68582525458,111,0,0,100,"weather",2.14
3055,5,"IND",1,-5.35,21,1,1,"4","MAK",20,45,11,"n","formal",1.19308630982209,5112,4284.68582525458,111,0,1,100,"weather",-3.56
3056,15,"IND",1,0,15,0,0,"1","MAK",25,36,7,"n","formal",0.298271577455522,1278,4284.68582525458,111,0,0,100,"weather",2.14
3057,16,"IND",1,0,32,1,1,"2","MAK",25,45,10,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,0,100,"weather",2.14
3058,16,"IND",1,2.14,16,0,1,"3","MAK",25,38,12,"n","formal",0.497119295759204,2130,4284.68582525458,111,0,0,100,"weather",3.56
